C:\Users\Kevin\Desktop\Data\IMG\center_2022_01_17_13_26_28_576.jpg, C:\Users\Kevin\Desktop\Data\IMG\left_2022_01_17_13_26_28_576.jpg, C:\Users\Kevin\Desktop\Data\IMG\right_2022_01_17_13_26_28_576.jpg, 0, 0, 0, 7.774634E-05
C:\Users\Kevin\Desktop\Data\IMG\center_2022_01_17_13_26_28_682.jpg, C:\Users\Kevin\Desktop\Data\IMG\left_2022_01_17_13_26_28_682.jpg, C:\Users\Kevin\Desktop\Data\IMG\right_2022_01_17_13_26_28_682.jpg, 0, 0, 0, 7.877396E-05
C:\Users\Kevin\Desktop\Data\IMG\center_2022_01_17_13_26_28_798.jpg, C:\Users\Kevin\Desktop\Data\IMG\left_2022_01_17_13_26_28_798.jpg, C:\Users\Kevin\Desktop\Data\IMG\right_2022_01_17_13_26_28_798.jpg, 0, 0, 0, 7.826513E-05
C:\Users\Kevin\Desktop\Data\IMG\center_2022_01_17_13_26_28_903.jpg, C:\Users\Kevin\Desktop\Data\IMG\left_2022_01_17_13_26_28_903.jpg, C:\Users\Kevin\Desktop\Data\IMG\right_2022_01_17_13_26_28_903.jpg, 0, 0, 0, 7.887773E-05
C:\Users\Kevin\Desktop\Data\IMG\center_2022_01_17_13_26_29_004.jpg, C:\Users\Kevin\Desktop\Data\IMG\left_2022_01_17_13_26_29_004.jpg, C:\Users\Kevin\Desktop\Data\IMG\right_2022_01_17_13_26_29_004.jpg, 0, 0, 0, 7.917823E-05
C:\Users\Kevin\Desktop\Data\IMG\center_2022_01_17_13_26_29_112.jpg, C:\Users\Kevin\Desktop\Data\IMG\left_2022_01_17_13_26_29_112.jpg, C:\Users\Kevin\Desktop\Data\IMG\right_2022_01_17_13_26_29_112.jpg, 0, 0, 0, 7.791131E-05
C:\Users\Kevin\Desktop\Data\IMG\center_2022_01_17_13_26_29_216.jpg, C:\Users\Kevin\Desktop\Data\IMG\left_2022_01_17_13_26_29_216.jpg, C:\Users\Kevin\Desktop\Data\IMG\right_2022_01_17_13_26_29_216.jpg, 0, 0, 0, 7.864378E-05
C:\Users\Kevin\Desktop\Data\IMG\center_2022_01_17_13_26_29_322.jpg, C:\Users\Kevin\Desktop\Data\IMG\left_2022_01_17_13_26_29_322.jpg, C:\Users\Kevin\Desktop\Data\IMG\right_2022_01_17_13_26_29_322.jpg, 0, 0, 0, 7.780996E-05
C:\Users\Kevin\Desktop\Data\IMG\center_2022_01_17_13_26_29_425.jpg, C:\Users\Kevin\Desktop\Data\IMG\left_2022_01_17_13_26_29_425.jpg, C:\Users\Kevin\Desktop\Data\IMG\right_2022_01_17_13_26_29_425.jpg, 0, 0.2793286, 0, 0.1688307
C:\Users\Kevin\Desktop\Data\IMG\center_2022_01_17_13_26_29_542.jpg, C:\Users\Kevin\Desktop\Data\IMG\left_2022_01_17_13_26_29_542.jpg, C:\Users\Kevin\Desktop\Data\IMG\right_2022_01_17_13_26_29_542.jpg, 0, 0.652578, 0, 0.86896
C:\Users\Kevin\Desktop\Data\IMG\center_2022_01_17_13_26_29_646.jpg, C:\Users\Kevin\Desktop\Data\IMG\left_2022_01_17_13_26_29_646.jpg, C:\Users\Kevin\Desktop\Data\IMG\right_2022_01_17_13_26_29_646.jpg, 0, 0.9182503, 0, 1.821464
C:\Users\Kevin\Desktop\Data\IMG\center_2022_01_17_13_26_29_750.jpg, C:\Users\Kevin\Desktop\Data\IMG\left_2022_01_17_13_26_29_750.jpg, C:\Users\Kevin\Desktop\Data\IMG\right_2022_01_17_13_26_29_750.jpg, 0, 1, 0, 3.238831
